ggml_cuda_init: GGML_CUDA_FORCE_MMQ:    no
ggml_cuda_init: GGML_CUDA_FORCE_CUBLAS: no
ggml_cuda_init: found 8 CUDA devices:
  Device 0: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 1: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 2: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 3: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 4: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 5: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 6: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 7: NVIDIA L40S, compute capability 8.9, VMM: yes

Computing statistics for /shared/user68/workspace/bobchenyx/official/imatrix_ubergarm_E4.gguf (384 tensors)

 Layer	       Tensor	          Σ(Act²)	  Min	            Max	           μ	   σ	 % Active	N	   Entropy	E (norm)	ZD	  CosSim
=========================================================================================================================================================================
   47	attn_k              	   1904.76	  0.1110	   274.7603	  0.93	  7.94	  100.00%	  2048	    7.3157	 66.51%	      1.42%	  0.9275
   45	attn_k              	   1358.66	  0.0346	    58.0401	  0.66	  3.13	  100.00%	  2048	    7.9608	 72.37%	      3.27%	  0.9103
   46	attn_k              	   1349.26	  0.0880	   100.2754	  0.66	  3.66	  100.00%	  2048	    8.0905	 73.55%	      2.29%	  0.8588
   44	attn_k              	    613.44	  0.0275	    24.2368	  0.30	  1.54	  100.00%	  2048	    7.8972	 71.79%	      2.39%	  0.9686
   42	attn_k              	    486.63	  0.0265	    34.8614	  0.24	  1.36	  100.00%	  2048	    7.9119	 71.93%	      2.05%	  0.9734
   43	attn_k              	    468.53	  0.0000	    20.2279	  0.23	  1.12	   99.95%	  2048	    8.2618	 75.11%	      2.20%	  0.8180
   41	attn_k              	    323.74	  0.0149	    19.4932	  0.16	  0.94	  100.00%	  2048	    7.7749	 70.68%	      2.00%	  0.8954
   40	attn_k              	    204.82	  0.0096	     9.7712	  0.10	  0.55	  100.00%	  2048	    7.9919	 72.65%	      2.20%	  0.9356
   38	attn_k              	    137.79	  0.0012	     8.3840	  0.07	  0.37	  100.00%	  2048	    8.1726	 74.30%	      1.95%	  0.9903
   39	attn_k              	    121.17	  0.0000	     7.4919	  0.06	  0.32	   99.95%	  2048	    8.3259	 75.69%	      2.15%	  0.9905
   37	attn_k              	     70.97	  0.0009	     4.5846	  0.03	  0.20	  100.00%	  2048	    7.9556	 72.32%	      2.00%	  0.9780
   36	attn_k              	     49.49	  0.0003	     3.8128	  0.02	  0.14	  100.00%	  2048	    8.1739	 74.31%	      1.95%	  0.9876
   35	attn_k              	     40.37	  0.0004	     2.9967	  0.02	  0.12	  100.00%	  2048	    7.8574	 71.43%	      1.81%	  0.9634
   29	attn_k              	     32.86	  0.0004	     5.8336	  0.02	  0.15	  100.00%	  2048	    7.2730	 66.12%	      1.56%	  0.5766
   26	attn_k              	     30.77	  0.0007	     3.3068	  0.02	  0.10	  100.00%	  2048	    8.1230	 73.85%	      1.61%	  0.9839
   33	attn_k              	     29.49	  0.0006	     2.6218	  0.01	  0.09	  100.00%	  2048	    8.0158	 72.87%	      2.00%	  0.9893
   34	attn_k              	     27.99	  0.0000	     2.7182	  0.01	  0.09	   99.95%	  2048	    7.9323	 72.11%	      1.86%	  0.9832
   27	attn_k              	     23.94	  0.0000	     2.6472	  0.01	  0.08	   99.95%	  2048	    8.2190	 74.72%	      1.71%	  0.9942
   28	attn_k              	     23.76	  0.0007	     2.0870	  0.01	  0.07	  100.00%	  2048	    8.1892	 74.45%	      1.90%	  0.9723
   32	attn_k              	     22.22	  0.0008	     2.0275	  0.01	  0.06	  100.00%	  2048	    8.3018	 75.47%	      1.76%	  0.9768
