ggml_cuda_init: GGML_CUDA_FORCE_MMQ:    no
ggml_cuda_init: GGML_CUDA_FORCE_CUBLAS: no
ggml_cuda_init: found 8 CUDA devices:
  Device 0: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 1: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 2: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 3: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 4: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 5: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 6: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 7: NVIDIA L40S, compute capability 8.9, VMM: yes

Computing statistics for /shared/user68/workspace/bobchenyx/llama.cpp/imatrix.gguf (384 tensors)

 Layer	       Tensor	          Σ(Act²)	  Min	            Max	           μ	   σ	 % Active	N	   Entropy	E (norm)	ZD	  CosSim
=========================================================================================================================================================================
   47	attn_k              	   1937.69	  0.0935	   321.5535	  0.95	  8.82	  100.00%	  2048	    7.0144	 63.77%	      1.37%	  0.9242
   45	attn_k              	   1406.56	  0.0292	    65.8955	  0.69	  3.48	  100.00%	  2048	    7.7614	 70.56%	      2.98%	  0.9139
   46	attn_k              	   1380.78	  0.0745	   116.2502	  0.67	  4.04	  100.00%	  2048	    7.8364	 71.24%	      2.20%	  0.8587
   44	attn_k              	    634.35	  0.0243	    30.2047	  0.31	  1.67	  100.00%	  2048	    7.7237	 70.22%	      2.39%	  0.9696
   42	attn_k              	    499.00	  0.0232	    38.6371	  0.24	  1.48	  100.00%	  2048	    7.6889	 69.90%	      2.05%	  0.9734
   43	attn_k              	    479.24	  0.0000	    25.4982	  0.23	  1.23	   99.95%	  2048	    8.0542	 73.22%	      2.15%	  0.8120
   41	attn_k              	    328.89	  0.0156	    21.1983	  0.16	  1.02	  100.00%	  2048	    7.5290	 68.45%	      1.86%	  0.8939
   40	attn_k              	    205.32	  0.0100	    10.1927	  0.10	  0.58	  100.00%	  2048	    7.7917	 70.83%	      2.15%	  0.9359
   38	attn_k              	    137.10	  0.0013	     9.1428	  0.07	  0.40	  100.00%	  2048	    7.9243	 72.04%	      1.86%	  0.9904
   39	attn_k              	    119.63	  0.0000	     7.7893	  0.06	  0.34	   99.95%	  2048	    8.0890	 73.54%	      1.95%	  0.9914
   37	attn_k              	     70.23	  0.0009	     4.7677	  0.03	  0.21	  100.00%	  2048	    7.7095	 70.09%	      1.95%	  0.9791
   36	attn_k              	     48.52	  0.0003	     3.9455	  0.02	  0.15	  100.00%	  2048	    7.9437	 72.22%	      1.95%	  0.9882
   35	attn_k              	     39.79	  0.0004	     3.1173	  0.02	  0.13	  100.00%	  2048	    7.6370	 69.43%	      1.81%	  0.9645
   29	attn_k              	     32.91	  0.0004	     5.9845	  0.02	  0.16	  100.00%	  2048	    7.0862	 64.42%	      1.46%	  0.5853
   26	attn_k              	     30.65	  0.0007	     3.5124	  0.01	  0.11	  100.00%	  2048	    7.9115	 71.92%	      1.56%	  0.9843
   33	attn_k              	     29.32	  0.0007	     2.7327	  0.01	  0.09	  100.00%	  2048	    7.8060	 70.96%	      2.00%	  0.9900
   34	attn_k              	     27.77	  0.0000	     2.8255	  0.01	  0.10	   99.95%	  2048	    7.7059	 70.05%	      1.86%	  0.9827
   28	attn_k              	     23.66	  0.0008	     2.1906	  0.01	  0.07	  100.00%	  2048	    8.0252	 72.96%	      1.86%	  0.9730
   27	attn_k              	     23.64	  0.0000	     2.7748	  0.01	  0.08	   99.95%	  2048	    8.0247	 72.95%	      1.66%	  0.9945
   32	attn_k              	     22.16	  0.0007	     2.1064	  0.01	  0.07	  100.00%	  2048	    8.1282	 73.89%	      1.76%	  0.9779
   30	attn_k              	     21.37	  0.0000	     2.2145	  0.01	  0.07	  100.00%	  2048	    8.0389	 73.08%	      1.76%	  0.5486
   25	attn_k              	     18.45	  0.0001	     1.8436	  0.01	  0.07	  100.00%	  2048	    7.8881	 71.71%	      1.51%	  0.9961
   31	attn_k              	     16.71	  0.0002	     1.6511	  0.01	  0.05	  100.00%	  2048	    8.4024	 76.39%	      1.76%	  0.9891
   24	attn_k              	     13.98	  0.0000	     1.4307	  0.01	  0.05	  100.00%	  2048	    7.9195	 72.00%	      1.37%	  0.9816
