ggml_cuda_init: GGML_CUDA_FORCE_MMQ:    no
ggml_cuda_init: GGML_CUDA_FORCE_CUBLAS: no
ggml_cuda_init: found 8 CUDA devices:
  Device 0: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 1: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 2: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 3: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 4: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 5: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 6: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 7: NVIDIA L40S, compute capability 8.9, VMM: yes

Computing statistics for /shared/user68/workspace/bobchenyx/moe-ne/llama.cpp/imatrix.gguf (384 tensors)

 Layer	       Tensor	          Σ(Act²)	  Min	            Max	           μ	   σ	 % Active	N	   Entropy	E (norm)	ZD	  CosSim
=========================================================================================================================================================================
   47	attn_k              	   1927.34	  0.1028	   294.7608	  0.94	  8.37	  100.00%	  2048	    7.1648	 65.13%	      1.42%	  0.9260
   45	attn_k              	   1374.44	  0.0320	    59.8557	  0.67	  3.27	  100.00%	  2048	    7.8697	 71.54%	      3.22%	  0.9114
   46	attn_k              	   1363.26	  0.0814	   106.9829	  0.67	  3.84	  100.00%	  2048	    7.9641	 72.40%	      2.29%	  0.8584
   44	attn_k              	    622.95	  0.0258	    26.2856	  0.30	  1.61	  100.00%	  2048	    7.8000	 70.91%	      2.39%	  0.9687
   42	attn_k              	    492.36	  0.0248	    36.4224	  0.24	  1.41	  100.00%	  2048	    7.8000	 70.91%	      2.05%	  0.9739
   43	attn_k              	    473.18	  0.0000	    22.2790	  0.23	  1.17	   99.95%	  2048	    8.1498	 74.09%	      2.20%	  0.8167
   41	attn_k              	    326.25	  0.0149	    20.2726	  0.16	  0.98	  100.00%	  2048	    7.6573	 69.61%	      1.95%	  0.8945
   40	attn_k              	    205.67	  0.0096	    10.0177	  0.10	  0.57	  100.00%	  2048	    7.8777	 71.62%	      2.20%	  0.9354
   38	attn_k              	    137.52	  0.0012	     8.5099	  0.07	  0.39	  100.00%	  2048	    8.0404	 73.09%	      1.90%	  0.9902
   39	attn_k              	    120.54	  0.0000	     7.5895	  0.06	  0.33	   99.95%	  2048	    8.1965	 74.51%	      2.05%	  0.9909
   37	attn_k              	     70.77	  0.0009	     4.6388	  0.03	  0.21	  100.00%	  2048	    7.8303	 71.18%	      1.95%	  0.9785
   36	attn_k              	     49.06	  0.0003	     3.8522	  0.02	  0.14	  100.00%	  2048	    8.0444	 73.13%	      1.95%	  0.9877
   35	attn_k              	     40.12	  0.0004	     3.0313	  0.02	  0.13	  100.00%	  2048	    7.7324	 70.29%	      1.81%	  0.9636
   29	attn_k              	     32.91	  0.0004	     5.9352	  0.02	  0.16	  100.00%	  2048	    7.1724	 65.20%	      1.51%	  0.5780
   26	attn_k              	     30.60	  0.0007	     3.3745	  0.01	  0.11	  100.00%	  2048	    7.9993	 72.72%	      1.61%	  0.9839
   33	attn_k              	     29.46	  0.0006	     2.6503	  0.01	  0.09	  100.00%	  2048	    7.9075	 71.89%	      2.00%	  0.9895
   34	attn_k              	     27.89	  0.0000	     2.7454	  0.01	  0.09	   99.95%	  2048	    7.8126	 71.02%	      1.86%	  0.9827
   27	attn_k              	     23.75	  0.0000	     2.6874	  0.01	  0.08	   99.95%	  2048	    8.1014	 73.65%	      1.71%	  0.9944
   28	attn_k              	     23.70	  0.0007	     2.1185	  0.01	  0.07	  100.00%	  2048	    8.0875	 73.52%	      1.90%	  0.9722
   32	attn_k              	     22.15	  0.0007	     2.0475	  0.01	  0.06	  100.00%	  2048	    8.1987	 74.53%	      1.76%	  0.9769
   30	attn_k              	     21.45	  0.0000	     2.1464	  0.01	  0.07	  100.00%	  2048	    8.1375	 73.98%	      1.76%	  0.5395
   25	attn_k              	     18.58	  0.0000	     1.7781	  0.01	  0.07	  100.00%	  2048	    7.9802	 72.55%	      1.51%	  0.9963
   31	attn_k              	     16.75	  0.0002	     1.6025	  0.01	  0.05	  100.00%	  2048	    8.4882	 77.17%	      1.81%	  0.9887
   24	attn_k              	     14.01	  0.0000	     1.3834	  0.01	  0.05	  100.00%	  2048	    7.9774	 72.52%	      1.51%	  0.9802
   23	attn_k              	     12.71	  0.0001	     1.3443	  0.01	  0.05	  100.00%	  2048	    7.7442	 70.40%	      1.27%	  0.9884
   21	attn_k              	     10.80	  0.0001	     0.9730	  0.01	  0.04	  100.00%	  2048	    7.7566	 70.51%	      1.46%	  0.9966
   22	attn_k              	     10.80	  0.0000	     1.0261	  0.01	  0.04	   99.95%	  2048	    7.7656	 70.60%	      1.17%	  0.9893
   14	attn_k              	     10.12	  0.0002	     0.7764	  0.00	  0.03	  100.00%	  2048	    8.4311	 76.65%	      1.42%	  0.9799
   17	attn_k              	      9.24	  0.0001	     0.8208	  0.00	  0.04	  100.00%	  2048	    7.4111	 67.37%	      1.27%	  0.9336
   18	attn_k              	      8.57	  0.0000	     0.7909	  0.00	  0.03	   99.95%	  2048	    8.0397	 73.09%	      1.17%	  0.8679
   20	attn_k              	      7.45	  0.0003	     0.6525	  0.00	  0.03	  100.00%	  2048	    8.1445	 74.04%	      1.51%	  0.9852
   16	attn_k              	      6.52	  0.0002	     0.4857	  0.00	  0.02	  100.00%	  2048	    8.3663	 76.06%	      1.42%	  0.9735
