ggml_cuda_init: GGML_CUDA_FORCE_MMQ:    no
ggml_cuda_init: GGML_CUDA_FORCE_CUBLAS: no
ggml_cuda_init: found 8 CUDA devices:
  Device 0: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 1: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 2: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 3: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 4: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 5: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 6: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 7: NVIDIA L40S, compute capability 8.9, VMM: yes

Computing statistics for /shared/user68/workspace/bobchenyx/official/imatrix_ubergarm.gguf (384 tensors)

 Layer	       Tensor	          Σ(Act²)	  Min	            Max	           μ	   σ	 % Active	N	   Entropy	E (norm)	ZD	  CosSim
=========================================================================================================================================================================
   47	attn_k              	   1946.54	  0.0874	   336.7928	  0.95	  9.17	  100.00%	  2048	    6.8934	 62.67%	      1.37%	  0.9255
   45	attn_k              	   1397.21	  0.0272	    68.8988	  0.68	  3.53	  100.00%	  2048	    7.7079	 70.07%	      2.93%	  0.9130
   46	attn_k              	   1378.29	  0.0692	   122.1052	  0.67	  4.17	  100.00%	  2048	    7.7384	 70.35%	      2.20%	  0.8577
   44	attn_k              	    634.94	  0.0223	    31.5385	  0.31	  1.71	  100.00%	  2048	    7.6392	 69.45%	      2.39%	  0.9685
   42	attn_k              	    500.00	  0.0218	    40.3046	  0.24	  1.52	  100.00%	  2048	    7.6004	 69.09%	      2.05%	  0.9743
   43	attn_k              	    478.23	  0.0000	    26.5732	  0.23	  1.25	   99.95%	  2048	    7.9640	 72.40%	      2.15%	  0.8052
   41	attn_k              	    328.13	  0.0150	    22.1240	  0.16	  1.04	  100.00%	  2048	    7.4485	 67.71%	      1.86%	  0.8884
   40	attn_k              	    205.61	  0.0091	    10.4411	  0.10	  0.60	  100.00%	  2048	    7.6867	 69.88%	      2.15%	  0.9352
   38	attn_k              	    136.50	  0.0013	     9.6250	  0.07	  0.41	  100.00%	  2048	    7.8133	 71.03%	      1.90%	  0.9903
   39	attn_k              	    118.77	  0.0000	     8.0847	  0.06	  0.35	   99.95%	  2048	    7.9754	 72.50%	      1.95%	  0.9917
   37	attn_k              	     70.02	  0.0009	     4.7004	  0.03	  0.22	  100.00%	  2048	    7.6153	 69.23%	      1.95%	  0.9794
   36	attn_k              	     48.09	  0.0003	     3.8998	  0.02	  0.15	  100.00%	  2048	    7.8192	 71.08%	      1.95%	  0.9880
   35	attn_k              	     39.53	  0.0004	     3.0790	  0.02	  0.13	  100.00%	  2048	    7.5191	 68.36%	      1.81%	  0.9643
   29	attn_k              	     32.87	  0.0004	     6.1338	  0.02	  0.16	  100.00%	  2048	    6.9919	 63.56%	      1.46%	  0.5783
   26	attn_k              	     30.28	  0.0007	     3.5016	  0.01	  0.11	  100.00%	  2048	    7.7882	 70.80%	      1.61%	  0.9842
   33	attn_k              	     29.31	  0.0007	     2.6997	  0.01	  0.09	  100.00%	  2048	    7.7156	 70.14%	      2.00%	  0.9898
   34	attn_k              	     27.61	  0.0000	     2.7882	  0.01	  0.10	   99.95%	  2048	    7.6009	 69.10%	      1.86%	  0.9820
   28	attn_k              	     23.51	  0.0008	     2.1736	  0.01	  0.07	  100.00%	  2048	    7.9165	 71.97%	      1.90%	  0.9724
   27	attn_k              	     23.37	  0.0000	     2.7589	  0.01	  0.08	   99.95%	  2048	    7.9011	 71.83%	      1.71%	  0.9947
   32	attn_k              	     21.98	  0.0006	     2.0872	  0.01	  0.07	  100.00%	  2048	    8.0146	 72.86%	      1.76%	  0.9774
   30	attn_k              	     21.18	  0.0000	     2.1914	  0.01	  0.07	  100.00%	  2048	    7.9430	 72.21%	      1.76%	  0.5406
   25	attn_k              	     18.22	  0.0001	     1.8441	  0.01	  0.07	  100.00%	  2048	    7.7712	 70.65%	      1.51%	  0.9959
   31	attn_k              	     16.39	  0.0002	     1.6362	  0.01	  0.05	  100.00%	  2048	    8.2761	 75.24%	      1.81%	  0.9892
   24	attn_k              	     13.67	  0.0000	     1.4342	  0.01	  0.05	  100.00%	  2048	    7.7651	 70.59%	      1.51%	  0.9808
   23	attn_k              	     12.44	  0.0001	     1.2731	  0.01	  0.05	  100.00%	  2048	    7.5440	 68.58%	      1.27%	  0.9887
   21	attn_k              	     10.74	  0.0001	     1.0381	  0.01	  0.04	  100.00%	  2048	    7.5545	 68.68%	      1.46%	  0.9961
   22	attn_k              	     10.66	  0.0000	     1.0869	  0.01	  0.04	   99.95%	  2048	    7.5705	 68.82%	      1.17%	  0.9891
   14	attn_k              	     10.11	  0.0002	     0.8773	  0.00	  0.03	  100.00%	  2048	    8.2165	 74.70%	      1.42%	  0.9811
   17	attn_k              	      9.29	  0.0001	     0.8539	  0.00	  0.04	  100.00%	  2048	    7.2347	 65.77%	      1.27%	  0.9348
   18	attn_k              	      8.54	  0.0000	     0.8671	  0.00	  0.03	   99.95%	  2048	    7.8353	 71.23%	      1.17%	  0.8700
   20	attn_k              	      7.39	  0.0002	     0.7079	  0.00	  0.03	  100.00%	  2048	    7.9391	 72.17%	      1.51%	  0.9856
   16	attn_k              	      6.48	  0.0002	     0.5076	  0.00	  0.02	  100.00%	  2048	    8.1718	 74.29%	      1.42%	  0.9743
   19	attn_k              	      6.28	  0.0000	     0.5425	  0.00	  0.02	  100.00%	  2048	    8.3289	 75.72%	      1.32%	  0.9874
   15	attn_k              	      5.49	  0.0000	     0.4103	  0.00	  0.02	   99.95%	  2048	    8.3275	 75.70%	      1.37%	  0.9819
    8	attn_k              	      5.08	  0.0001	     0.6625	  0.00	  0.02	  100.00%	  2048	    7.9119	 71.93%	      1.51%	  0.9618
   13	attn_k              	      4.48	  0.0000	     0.4075	  0.00	  0.02	   99.95%	  2048	    8.0258	 72.96%	      1.22%	  0.9860
   12	attn_k              	      3.70	  0.0000	     0.3055	  0.00	  0.01	  100.00%	  2048	    8.2144	 74.68%	      1.27%	  0.9842
    3	attn_k              	      3.60	  0.0000	     0.7287	  0.00	  0.02	  100.00%	  2048	    7.1031	 64.57%	      1.12%	  0.7718
   11	attn_k              	      2.99	  0.0000	     0.3135	  0.00	  0.01	  100.00%	  2048	    7.6756	 69.78%	      1.17%	  0.9760
    9	attn_k              	      2.98	  0.0001	     0.2841	  0.00	  0.01	  100.00%	  2048	    7.9809	 72.55%	      1.37%	  0.9449
    6	attn_k              	      2.96	  0.0000	     0.3251	  0.00	  0.01	   99.95%	  2048	    8.3276	 75.71%	      1.07%	  0.9759
   10	attn_k              	      2.66	  0.0000	     0.2459	  0.00	  0.01	   99.95%	  2048	    7.9498	 72.27%	      1.22%	  0.9618
    4	attn_k              	      2.01	  0.0000	     0.3369	  0.00	  0.01	   99.95%	  2048	    7.4511	 67.74%	      0.83%	  0.8960
    7	attn_k              	      1.97	  0.0000	     0.1865	  0.00	  0.01	  100.00%	  2048	    8.6687	 78.81%	      1.46%	  0.9654
    5	attn_k              	      1.80	  0.0001	     0.2738	  0.00	  0.01	  100.00%	  2048	    7.8476	 71.34%	      1.17%	  0.9567
    2	attn_k              	      0.54	  0.0000	     0.0942	  0.00	  0.00	   99.51%	  2048	    7.8768	 71.61%	      0.93%	  0.5890
    1	attn_k              	      0.32	  0.0000	     0.0493	  0.00	  0.00	   76.12%	  2048	    7.7386	 70.35%	      0.68%	  0.3151
    0	attn_k              	      0.15	  0.0000	     0.0116	  0.00	  0.00	   18.12%	  2048	    7.3403	 66.73%	      2.83%	  0.0000
   47	attn_output         	    591.68	  0.0007	    13.3299	  0.14	  0.68	  100.00%	  4096	    9.8017	 81.68%	      1.44%	  0.0165
   46	attn_output         	    119.49	  0.0007	    10.9436	  0.03	  0.24	  100.00%	  4096	    9.8434	 82.03%	      0.39%	  0.0577
   42	attn_output         	    105.13	  0.0000	     0.7922	  0.03	  0.03	  100.00%	  4096	   11.4000	 95.00%	     10.64%	  0.2741
   41	attn_output         	     64.49	  0.0000	     0.8219	  0.02	  0.03	  100.00%	  4096	   10.9267	 91.06%	      7.71%	  0.2590
   43	attn_output         	     56.45	  0.0014	     0.8815	  0.01	  0.03	  100.00%	  4096	   11.0956	 92.46%	      6.96%	  0.2208
   40	attn_output         	     56.10	  0.0017	     0.3463	  0.01	  0.02	  100.00%	  4096	   11.3444	 94.54%	      9.30%	  0.4773
   38	attn_output         	     44.10	  0.0006	     0.3867	  0.01	  0.02	  100.00%	  4096	   11.0880	 92.40%	      9.28%	  0.2419
   44	attn_output         	     41.70	  0.0003	     0.5196	  0.01	  0.02	  100.00%	  4096	   10.8945	 90.79%	      7.42%	  0.4262
   45	attn_output         	     36.80	  0.0020	     0.3307	  0.01	  0.02	  100.00%	  4096	   11.4127	 95.11%	      2.51%	  0.2682
   39	attn_output         	     23.71	  0.0007	     0.1065	  0.01	  0.01	  100.00%	  4096	   11.3768	 94.81%	     10.11%	  0.3898
   37	attn_output         	     22.73	  0.0002	     1.0049	  0.01	  0.02	  100.00%	  4096	   10.8331	 90.28%	      3.27%	  0.1221
   36	attn_output         	     16.77	  0.0003	     0.3276	  0.00	  0.01	  100.00%	  4096	   10.9036	 90.86%	      6.42%	  0.1934
   33	attn_output         	     13.46	  0.0003	     0.0991	  0.00	  0.01	  100.00%	  4096	   11.0897	 92.41%	      6.91%	  0.2531
   35	attn_output         	     12.96	  0.0000	     0.0995	  0.00	  0.00	  100.00%	  4096	   11.1323	 92.77%	      8.74%	  0.3534
   34	attn_output         	     11.93	  0.0000	     0.0738	  0.00	  0.00	   98.61%	  4096	   11.1301	 92.75%	      6.84%	  0.2525
   26	attn_output         	      9.77	  0.0001	     0.0418	  0.00	  0.00	  100.00%	  4096	   11.1271	 92.73%	      9.86%	  0.2181
   28	attn_output         	      9.01	  0.0003	     0.0604	  0.00	  0.00	  100.00%	  4096	   11.3733	 94.78%	      6.86%	  0.4380
   32	attn_output         	      8.97	  0.0002	     0.0970	  0.00	  0.00	  100.00%	  4096	   11.1892	 93.24%	      5.03%	  0.2361
   30	attn_output         	      8.24	  0.0000	     0.1887	  0.00	  0.00	   98.27%	  4096	   10.8858	 90.72%	      5.10%	  0.1521
   29	attn_output         	      7.50	  0.0000	     0.1029	  0.00	  0.00	   97.88%	  4096	   10.8942	 90.79%	      6.64%	  0.1990
   31	attn_output         	      7.49	  0.0002	     0.0733	  0.00	  0.00	  100.00%	  4096	   11.2102	 93.42%	      7.67%	  0.1722
   27	attn_output         	      7.13	  0.0002	     0.0287	  0.00	  0.00	  100.00%	  4096	   11.4296	 95.25%	      9.86%	  0.4825
   25	attn_output         	      6.99	  0.0001	     0.2320	  0.00	  0.00	  100.00%	  4096	   10.9029	 90.86%	      5.42%	  0.2200
   24	attn_output         	      5.98	  0.0001	     0.0370	  0.00	  0.00	  100.00%	  4096	   11.2677	 93.90%	     10.57%	  0.2991
   21	attn_output         	      5.53	  0.0001	     0.0416	  0.00	  0.00	  100.00%	  4096	   11.0737	 92.28%	      7.98%	  0.1892
   22	attn_output         	      5.50	  0.0000	     0.0454	  0.00	  0.00	   97.24%	  4096	   11.0474	 92.06%	      5.81%	  0.2094
   23	attn_output         	      5.35	  0.0000	     0.0690	  0.00	  0.00	   98.49%	  4096	   11.0985	 92.49%	      8.25%	  0.2850
   20	attn_output         	      3.72	  0.0001	     0.0555	  0.00	  0.00	  100.00%	  4096	   10.9995	 91.66%	      3.86%	  0.1836
   19	attn_output         	      3.41	  0.0000	     0.0239	  0.00	  0.00	  100.00%	  4096	   11.1208	 92.67%	      8.64%	  0.1628
